id	rate
06037	8.069511221
17031	6.1618018
36061	4.341140063
48201	4.285339165
04013	4.236992986
36059	3.722739924
06059	3.578406739
06073	3.523149293
12086	3.386232574
06085	3.300512957
26125	3.097601899
42101	3.074839838
53033	3.050800531
25017	3.019262515
25025	2.97155687
36103	2.967954755
36047	2.951282157
27053	2.874265762
51059	2.837943185
24031	2.807610494
34003	2.766544295
42003	2.754743452
26163	2.707398395
12011	2.688751482
29189	2.682341877
12099	2.648798112
06067	2.604606352
42091	2.585559254
17043	2.583801518
32003	2.569356614
48113	2.546793658
48439	2.523896077
51610	2.512883771
13121	2.47504272
39049	2.467119544
09001	2.46594295
36119	2.462115936
51013	2.398018281
48029	2.383113209
06065	2.379806068
48085	2.372638102
39035	2.348215525
06001	2.346334405
37183	2.344051489
36081	2.338833386
51107	2.3274574
24027	2.317180637
06013	2.275004933
25021	2.274436774
34023	2.269099156
39061	2.259838996
11001	2.247148781
12031	2.202110474
34027	2.181940949
36029	2.175522318
12103	2.161613127
48453	2.150025076
24005	2.142455656
20091	2.141432199
24510	2.140438456
12095	2.130371852
18057	2.123472443
06075	2.098757977
12057	2.093839887
18097	2.081883822
37119	2.0789266
42029	2.067839149
06081	2.067072843
34035	2.051809587
15003	2.049148934
34025	2.043414747
01073	2.040789585
06041	2.040645175
42017	2.027354249
34019	2.013445293
27123	2.002998847
47157	1.998150341
34007	1.996492709
26161	1.993349812
09003	1.984300181
21111	1.982455519
06071	1.972796619
40143	1.967879569
40109	1.964931642
51510	1.956981022
55025	1.951664161
41051	1.947666148
47187	1.941314785
17097	1.939089419
24003	1.936516084
13067	1.931917629
36001	1.908048025
34005	1.888884592
48121	1.88771534
25009	1.885749581
48157	1.88530073
05119	1.878727688
06111	1.873927611
36087	1.870237824
34013	1.852856343
08013	1.83907466
04019	1.83871221
25027	1.837016986
55133	1.829150819
08059	1.82797889
41067	1.81698848
42045	1.812423415
39113	1.807977637
55079	1.807652955
36067	1.792685938
27109	1.78513137
47093	1.780974932
47037	1.77275814
51153	1.772067489
36055	1.771306231
09009	1.771050018
37135	1.767900899
34021	1.762799999
33011	1.754999704
13117	1.753157789
17197	1.752486873
49035	1.749758864
23005	1.748393905
51041	1.745776331
08041	1.74551422
50007	1.742298338
24033	1.740914247
45079	1.734524772
19153	1.733716239
36079	1.723395807
20173	1.72175087
26099	1.717856045
06061	1.713609849
36085	1.711914784
25023	1.710849145
24021	1.709280772
08005	1.704378874
48491	1.702623949
02020	1.699980178
44007	1.696894644
53061	1.691219661
33015	1.686000777
35001	1.685858493
26081	1.68542652
27163	1.685320037
29095	1.680951805
31055	1.676989605
21067	1.676844339
08069	1.67646868
12071	1.67281429
12009	1.672334539
53053	1.669304562
51087	1.665376097
19103	1.661391042
51003	1.66076944
29183	1.655984989
13135	1.65203304
45045	1.650872912
13089	1.649772089
51199	1.647474265
27019	1.643898286
12115	1.642719129
01089	1.639568009
13113	1.638999476
51095	1.638379554
53063	1.635757267
27037	1.63176752
16001	1.631709859
45019	1.626310118
36027	1.621721028
12073	1.618442754
12117	1.616106633
09007	1.612655188
31109	1.610788598
36005	1.610564456
13219	1.609314621
46083	1.606719497
47065	1.603019204
55089	1.60017984
12109	1.595976964
17111	1.586607221
10003	1.583768647
25001	1.583405283
25005	1.580411092
51085	1.574737068
51810	1.573791599
44009	1.571906926
22033	1.571323925
34029	1.566762867
24025	1.565196234
17089	1.563757408
32031	1.561603809
48339	1.56076255
34017	1.559463049
06097	1.558714575
01117	1.554781685
53067	1.549418179
24017	1.549070275
09013	1.546590869
51061	1.545551799
24013	1.545429588
39095	1.543652455
48397	1.541339554
27003	1.537950133
29019	1.534914052
12127	1.53320857
34037	1.531185209
36091	1.520847223
06019	1.520139054
49049	1.518604645
24009	1.518408952
39165	1.511854425
37063	1.511191492
44005	1.507942838
36071	1.502768256
08031	1.499114471
37081	1.49249587
12001	1.491630033
17019	1.49033258
41003	1.488892724
36109	1.476015996
17093	1.475345829
18003	1.473006785
25015	1.472389262
42095	1.471871495
26077	1.471354255
26065	1.470129435
28089	1.467016246
24037	1.4653342
34015	1.462591579
06087	1.46237483
41005	1.461237224
39153	1.456358454
22103	1.453995886
33013	1.44904288
31153	1.443654949
06017	1.443284025
12021	1.443098359
17113	1.44186957
42077	1.440916283
29077	1.433642586
09011	1.432742507
34039	1.430447751
29165	1.422048636
13057	1.416317226
09005	1.416191321
42043	1.415252168
42041	1.414565924
37021	1.413116112
51830	1.409493553
26049	1.405786822
29510	1.405694438
12101	1.404494679
